time,mag,magerr,band
51075.319882,18.73,0.01,r
51075.320715,18.812,0.015,i
51075.321549,19.934,0.039,u
51075.322382,18.785,0.045,z
51075.323215,18.729,0.008,g
51819.374719,19.424,0.017,r
51819.375552,19.378,0.023,i
51819.376386,20.762,0.093,u
51819.377219,19.247,0.063,z
51819.378052,19.711,0.016,g
52558.339997,19.323,0.014,r
52558.34083,19.181,0.018,i
52558.341664,20.605,0.071,u
52558.342497,19.119,0.045,z
52558.34333,19.591,0.014,g
52577.227499,19.083,0.013,r
52577.228332,19.066,0.017,i
52577.229166,20.245,0.054,u
52577.229999,19.078,0.056,z
52577.230832,19.179,0.01,g
52586.230977,19.215,0.014,r
52586.23181,19.066,0.019,i
52586.232644,20.678,0.071,u
52586.233477,19.075,0.064,z
52586.23431,19.478,0.012,g
52910.311458,19.136,0.013,r
52910.312291,18.988,0.016,i
52910.313125,20.411,0.065,u
52910.313958,18.986,0.045,z
52910.314791,19.254,0.011,g
52931.241661,19.237,0.014,r
52931.242494,19.184,0.019,i
52931.243328,20.404,0.065,u
52931.244161,19.132,0.057,z
52931.244994,19.4,0.013,g
52935.238624,19.157,0.014,r
52935.239457,19.085,0.019,i
52935.240291,20.685,0.074,u
52935.241124,18.974,0.053,z
52935.241957,19.4,0.012,g
52959.181954,19.462,0.015,r
52959.182787,19.361,0.017,i
52959.183621,20.769,0.067,u
52959.184454,19.28,0.048,z
52959.185287,19.729,0.014,g
52963.161698,19.037,0.011,r
52963.162531,18.964,0.014,i
52963.163365,20.301,0.048,u
52963.164198,18.991,0.04,z
52963.165031,19.203,0.01,g
53352.132765,19.196,0.012,r
53352.133598,19.146,0.017,i
53352.134432,20.529,0.057,u
53352.135265,19.036,0.046,z
53352.136098,19.455,0.012,g
53622.341065,19.372,0.017,r
53622.341898,19.227,0.021,i
53622.343565,19.186,0.073,z
53622.344398,19.674,0.017,g
53634.290534,19.447,0.027,r
53634.291367,19.341,0.032,i
53634.292201,20.702,0.24,u
53634.293034,19.199,0.078,z
53638.33187,19.219,0.013,r
53638.332703,19.115,0.017,i
53638.333537,20.449,0.074,u
53638.33437,18.958,0.045,z
53638.335203,19.446,0.014,g
53640.295905,19.3,0.019,r
53640.299238,19.569,0.018,g
53655.268076,19.312,0.027,r
53655.268909,19.156,0.031,i
53655.269743,20.773,0.176,u
53655.270576,19.127,0.086,z
53655.271409,19.604,0.025,g
53664.293032,18.874,0.015,r
53664.293865,18.88,0.019,i
53664.294699,20.149,0.101,u
53664.295532,18.787,0.053,z
53664.296365,18.991,0.016,g
53669.252276,18.857,0.011,r
53669.253109,18.837,0.014,i
53669.253943,20.092,0.047,u
53669.254776,18.795,0.039,z
53669.255609,18.876,0.009,g
53671.337043,19.258,0.018,r
53671.337876,19.157,0.022,i
53671.33871,20.458,0.108,u
53671.339543,19.057,0.063,z
53671.340376,19.546,0.017,g
53674.236512,18.865,0.011,r
53674.237345,18.888,0.015,i
53674.238179,20.2,0.058,u
53674.239012,18.846,0.041,z
53674.239845,18.927,0.009,g
53676.325985,19.256,0.014,r
53676.326818,19.152,0.017,i
53676.327652,20.73,0.087,u
53676.328485,19.11,0.043,z
53676.329318,19.554,0.014,g
53679.297879,19.025,0.015,r
53679.298712,18.996,0.019,i
53679.299546,20.441,0.082,u
53679.300379,18.94,0.055,z
53679.301212,19.203,0.012,g
53681.289391,19.246,0.016,r
53681.290224,19.169,0.02,i
53681.291058,20.589,0.096,u
53681.291891,19.089,0.055,z
53681.292724,19.543,0.017,g
53685.248444,19.45,0.038,r
53685.249277,19.337,0.041,i
53685.250111,21.135,0.375,u
53685.250944,19.402,0.097,z
53685.251777,19.681,0.042,g
53694.262321,19.139,0.027,r
53694.263154,19.043,0.033,i
53694.264821,18.966,0.074,z
53694.265654,19.315,0.035,g
53697.246417,18.79,0.011,r
53697.24725,18.861,0.015,i
53697.248084,20.073,0.058,u
53697.248917,18.858,0.037,z
53697.24975,18.859,0.01,g
53700.245375,19.423,0.018,r
53700.246208,19.375,0.026,i
53700.247042,21.014,0.168,u
53700.247875,19.558,0.095,z
53700.248708,19.63,0.015,g
53705.232044,19.34,0.015,r
53705.232877,19.264,0.02,i
53705.233711,20.609,0.092,u
53705.234544,19.205,0.05,z
53705.235377,19.537,0.013,g
53975.317068,18.791,0.019,r
53975.317901,18.811,0.019,i
53975.318734,19.974,0.044,u
53975.319568,18.812,0.041,z
53975.320401,18.736,0.022,g
53990.329875,18.889,0.019,r
53990.330709,18.887,0.021,i
53990.331542,20.172,0.089,u
53990.333209,19.032,0.019,g
53994.340057,19.312,0.019,r
53994.34089,19.216,0.02,i
53994.341723,20.734,0.077,u
53994.342557,19.128,0.051,z
53994.34339,19.606,0.016,g
53996.323781,19.404,0.017,r
53996.324615,19.293,0.022,i
53996.325448,20.714,0.077,u
53996.326281,19.214,0.058,z
53996.327115,19.687,0.017,g
53998.292403,19.091,0.018,r
53998.293236,19.077,0.017,i
53998.29407,20.239,0.053,u
53998.294903,19.062,0.048,z
53998.295736,19.237,0.014,g
54005.322646,19.003,0.012,r
54005.323479,18.999,0.018,i
54005.324312,20.269,0.045,u
54005.325146,18.941,0.036,z
54005.325979,19.202,0.017,g
54010.277893,18.995,0.02,r
54010.278727,18.968,0.019,i
54010.27956,20.388,0.06,u
54010.281227,19.134,0.02,g
54012.270782,19.234,0.02,r
54012.272448,20.308,0.107,u
54012.273282,19.136,0.054,z
54012.274115,19.414,0.023,g
54020.276718,19.084,0.018,r
54020.277551,18.996,0.023,i
54020.278384,20.459,0.087,u
54020.279218,19.007,0.057,z
54020.280051,19.254,0.023,g
54024.358344,19.471,0.022,r
54024.359177,19.348,0.03,i
54024.360011,20.713,0.155,u
54024.360844,19.363,0.101,z
54024.361677,19.755,0.022,g
54030.270272,19.17,0.014,r
54030.271106,19.11,0.019,i
54030.271939,20.389,0.052,u
54030.272772,18.985,0.04,z
54030.273606,19.389,0.018,g
54035.346044,19.263,0.02,r
54035.346877,19.159,0.028,i
54035.34771,20.563,0.113,u
54035.348544,19.039,0.066,z
54035.349377,19.517,0.058,g
54037.251511,19.302,0.017,r
54037.252345,19.194,0.019,i
54037.253178,20.735,0.073,u
54037.254011,19.177,0.053,z
54037.254845,19.64,0.021,g
54040.266038,19.202,0.022,r
54040.266871,19.117,0.026,i
54040.267705,20.572,0.139,u
54040.268538,19.125,0.063,z
54040.269371,19.471,0.028,g
54047.299052,19.273,0.139,z
54047.299885,19.56,0.052,g
54049.292585,19.402,0.035,r
54049.293419,19.248,0.059,i
54049.294252,21.043,0.356,u
54049.295085,19.437,0.119,z
54049.295919,19.611,0.038,g
54053.256799,19.13,0.018,r
54053.257633,19.043,0.016,i
54053.258466,20.602,0.072,u
54053.259299,19.081,0.048,z
54053.260133,19.28,0.024,g
54056.258442,18.859,0.018,r
54056.259276,18.96,0.035,i
54056.260109,20.046,0.061,u
54056.260942,18.953,0.06,z
54056.261776,18.937,0.027,g
54059.252739,19.377,0.022,r
54059.253572,19.232,0.026,i
54059.254406,20.583,0.122,u
54059.255239,19.399,0.096,z
54059.256072,19.607,0.083,g
54062.25764,19.397,0.024,r
54062.258474,19.268,0.031,i
54062.259307,20.962,0.15,u
54062.26014,19.24,0.071,z
54062.260974,19.59,0.021,g
54068.238285,19.174,0.023,r
54068.239118,19.066,0.025,i
54068.239952,20.693,0.187,u
54068.240785,19.078,0.063,z
54068.241618,19.388,0.034,g
54357.295938,19.056,0.016,r
54357.296771,19.024,0.02,i
54357.297605,20.184,0.047,u
54357.298438,18.976,0.038,z
54357.299271,19.184,0.02,g
54362.345741,18.798,0.015,r
54362.346574,18.854,0.022,i
54362.347408,20.072,0.065,u
54362.348241,18.758,0.043,z
54362.349074,18.824,0.025,g
54382.325973,19.006,0.019,r
