time,mag,magerr,band
58556.38043980021,19.774099349975582,0.2847869992256164,g
58556.43541669985,19.83830070495605,0.1826719939708709,R
58567.29512730008,18.660200119018555,0.1143129989504814,g
58567.37902780017,18.61440086364746,0.0950839966535568,R
58572.33915509982,18.656700134277344,0.1118429973721504,g
58572.364699100144,18.679000854492188,0.135683000087738,R
58575.31890049996,18.882400512695312,0.080945998430252,g
58575.39232640015,18.834699630737305,0.0839840024709701,R
58580.30258100014,19.221599578857425,0.1041909977793693,g
58583.31846059999,19.16309928894043,0.1226200014352798,R
58583.39467590023,19.6112003326416,0.1557620018720626,g
58586.31733800005,19.32270050048828,0.1488769948482513,R
58586.40196759999,19.802499771118164,0.1791349947452545,g
58596.26146990014,19.68079948425293,0.1727319955825805,R
58600.216805600096,20.76110076904297,0.2329870015382766,g
58612.24601850007,20.651784896850582,0.2063122540712356,R
