time,mag,magerr,band
59252.24546300015,19.902700424194336,0.141414001584053,g
59254.1903241002,19.561599731445312,0.1133069992065429,R
59254.21921300003,19.540632247924805,0.1180197969079017,g
59256.2212152998,19.25111389160156,0.0865699276328086,R
59260.19881939981,18.787097930908203,0.0762851983308792,g
59263.2084144,18.823362350463867,0.1120414808392524,R
59265.185914400034,18.75123405456543,0.0856436789035797,g
59265.21679400001,18.745258331298828,0.0884010195732116,R
59266.15726849996,18.756988525390625,0.0989289581775665,g
59267.1828935002,18.79526138305664,0.101361870765686,R
59268.20004629996,18.625822067260746,0.0874547883868217,g
59268.28099540016,18.696338653564453,0.0875078216195106,R
59269.22230320005,18.878786087036133,0.1155202835798263,g
59269.30354169989,18.797836303710938,0.1469390541315078,R
59270.23821760016,18.888538360595703,0.1356212794780731,g
59270.30284720007,18.737701416015625,0.122643157839775,R
59271.21921300003,19.288536071777344,0.1946101784706115,g
59271.24572920008,18.82864570617676,0.1416291445493698,R
59272.18138890015,19.04442024230957,0.1562004387378692,g
59272.22429399984,18.781116485595703,0.1187836974859237,R
59273.14185190015,19.010217666625977,0.1338331252336502,g
59273.22456019977,18.873104095458984,0.1420255452394485,R
59274.15813660016,19.09798240661621,0.1848764717578888,g
59274.34114579996,18.93236923217773,0.200248509645462,R
59275.160486099776,19.214099884033203,0.1379325687885284,g
59278.16468749987,19.152149200439453,0.1125176474452018,R
59278.22500000009,19.428247451782227,0.1450790911912918,g
59308.20570599986,20.159591674804688,0.1820996254682541,R
